student_id,course_id,course_seq_no,status,is_major_ind,semester_seq_no
103116,1699,5,completed,0,2
103116,1439,6,completed,0,2
102126,1291,8,completed,1,2
102126,1284,9,completed,1,2
103110,1388,0,completed,1,1
103110,1389,1,completed,1,1
103110,1390,2,completed,1,1
103110,1437,3,completed,0,1
103110,62,4,completed,0,1
103116,218,7,completed,0,2
103116,1196,8,completed,1,2
103116,1101,9,completed,1,2
100117,1314,0,completed,1,1
100117,1315,1,completed,1,1
100117,3,2,completed,0,1
100117,1059,3,completed,0,1
100117,1427,4,completed,0,1
102130,1392,5,completed,1,2
102130,1404,6,completed,1,2
102130,1393,7,completed,1,2
100118,390,0,completed,0,1
100118,1389,1,completed,1,1
100118,1402,2,completed,1,1
100118,1395,3,completed,1,1
100118,1391,4,completed,1,1
102130,1398,8,completed,1,2
102130,1394,9,completed,1,2
103120,767,5,completed,0,2
103120,1103,6,completed,1,2
102120,1092,0,completed,1,1
102120,1242,1,completed,1,1
102120,1721,2,completed,0,1
102120,563,3,completed,0,1
102120,1601,4,completed,0,1
103120,1112,7,completed,1,2
103120,491,8,completed,0,2
103120,919,9,completed,0,2
103116,1,0,completed,0,1
103116,1390,1,completed,0,1
103116,1425,2,completed,0,1
103116,180,3,completed,0,1
103116,1277,4,completed,0,1
102137,1404,5,completed,1,2
102137,38,6,completed,0,2
102137,1393,7,completed,1,2
102126,1274,0,completed,1,1
102126,1577,1,completed,0,1
102126,1281,2,completed,1,1
102126,1277,3,completed,1,1
102126,1042,4,completed,0,1
102137,219,8,completed,0,2
102137,1405,9,completed,1,2
102138,1393,5,completed,0,2
102138,1247,6,completed,1,2
102138,1103,7,completed,1,2
102138,1203,8,completed,1,2
102138,1606,9,completed,0,2
102139,1675,5,completed,0,2
102139,1392,6,completed,0,2
102139,1247,7,completed,0,2
102139,1681,8,completed,0,2
102139,1002,9,completed,0,2
102141,652,5,completed,0,2
102141,1396,6,completed,1,2
102141,1392,7,completed,1,2
103120,1692,0,completed,0,1
103120,1243,1,completed,1,1
103120,1583,2,completed,0,1
103120,1581,3,completed,0,1
103120,1258,4,completed,1,1
102130,1050,0,completed,0,1
102130,1389,1,completed,1,1
102130,1390,2,completed,1,1
102130,1690,3,completed,0,1
102130,1396,4,completed,1,1
102141,1695,8,completed,0,2
102141,1405,9,completed,1,2
103129,776,5,completed,0,2
103129,1431,6,completed,0,2
103129,1038,7,completed,0,2
103129,716,8,completed,0,2
103129,1057,9,completed,0,2
102137,1389,0,completed,1,1
102137,1390,1,completed,1,1
102137,1402,2,completed,1,1
102137,1249,3,completed,0,1
102137,1396,4,completed,1,1
102138,1094,0,completed,1,1
102138,55,1,completed,0,1
102138,4,2,completed,0,1
102138,267,3,completed,0,1
102138,236,4,completed,0,1
102139,1090,0,completed,1,1
102139,1091,1,completed,1,1
102139,700,2,completed,0,1
102139,217,3,completed,0,1
102139,475,4,completed,0,1
102141,1390,0,completed,1,1
102141,1402,1,completed,1,1
102141,1395,2,completed,1,1
102141,1391,3,completed,1,1
102141,1403,4,completed,1,1
103134,1402,5,completed,1,2
103134,990,6,completed,0,2
103129,1090,0,completed,1,1
103129,241,1,completed,0,1
103129,1091,2,completed,1,1
103129,1036,3,completed,0,1
103129,392,4,completed,0,1
103134,1391,7,completed,1,2
103134,83,8,completed,0,2
103134,1396,9,completed,1,2
103135,1282,5,completed,1,2
103135,987,6,completed,0,2
100151,57,5,completed,0,2
100151,1688,6,completed,0,2
100151,488,7,completed,0,2
100151,1202,8,completed,1,2
103135,665,7,completed,0,2
103135,1279,8,completed,1,2
103135,1291,9,completed,1,2
100151,1210,9,completed,1,2
103140,1463,5,completed,0,2
103140,1282,6,completed,1,2
103140,1675,7,completed,0,2
103140,1290,8,completed,1,2
103140,1283,9,completed,1,2
103134,1389,0,completed,1,1
103134,1684,1,completed,0,1
103134,1425,2,completed,0,1
103134,1390,3,completed,1,1
103134,1601,4,completed,0,1
101147,1322,5,completed,1,2
101147,77,6,completed,0,2
102164,1097,5,completed,1,2
102164,1103,6,completed,1,2
102164,1104,7,completed,1,2
103135,1274,0,completed,1,1
103135,701,1,completed,0,1
103135,1584,2,completed,0,1
103135,1277,3,completed,1,1
103135,1580,4,completed,0,1
101147,1486,7,completed,0,2
101147,1319,8,completed,1,2
101147,1320,9,completed,1,2
101148,1331,5,completed,1,2
101148,1284,6,completed,0,2
102164,34,8,completed,0,2
102164,1212,9,completed,1,2
100151,1578,0,completed,0,1
100151,650,1,completed,0,1
100151,1193,2,completed,1,1
100151,1438,3,completed,0,1
100151,263,4,completed,0,1
101148,1324,7,completed,1,2
101148,1320,8,completed,1,2
101148,1327,9,completed,1,2
101150,4,5,completed,0,2
101150,1403,6,completed,1,2
100166,1289,5,completed,1,2
100166,1470,6,completed,0,2
100166,72,7,completed,0,2
100166,1290,8,completed,1,2
101150,1396,7,completed,1,2
101150,267,8,completed,0,2
101150,658,9,completed,0,2
103140,1274,0,completed,1,1
103140,1321,1,completed,0,1
103140,1281,2,completed,1,1
103140,1277,3,completed,1,1
103140,1289,4,completed,1,1
100166,84,9,completed,0,2
100167,1290,5,completed,1,2
100167,1283,6,completed,1,2
100167,1279,7,completed,1,2
100167,1280,8,completed,1,2
103148,1277,5,completed,1,2
103148,1485,6,completed,0,2
100167,1292,9,completed,1,2
101147,1315,0,completed,1,1
101147,75,1,completed,0,1
101147,1321,2,completed,1,1
101147,986,3,completed,0,1
101147,1329,4,completed,1,1
103148,1471,7,completed,0,2
103148,1290,8,completed,1,2
103148,1283,9,completed,1,2
101148,1316,0,completed,1,1
101148,63,1,completed,0,1
101148,1431,2,completed,0,1
101148,1330,3,completed,1,1
101148,1319,4,completed,1,1
101150,1388,0,completed,1,1
101150,1390,1,completed,1,1
101150,1402,2,completed,1,1
101150,1395,3,completed,1,1
101150,1199,4,completed,0,1
101158,558,5,completed,0,2
101158,1097,6,completed,0,2
101158,716,7,completed,0,2
101158,1057,8,completed,0,2
101158,54,9,completed,0,2
102164,1242,0,completed,1,1
102164,50,1,completed,0,1
102164,168,2,completed,0,1
102164,1249,3,completed,1,1
102164,1246,4,completed,1,1
100166,1274,0,completed,1,1
100166,1050,1,completed,0,1
100166,563,2,completed,0,1
100166,1281,3,completed,1,1
100166,1277,4,completed,1,1
101164,1250,5,completed,1,2
101164,1200,6,completed,1,2
103148,1274,0,completed,1,1
103148,1691,1,completed,0,1
103148,1281,2,completed,1,1
103148,906,3,completed,0,1
103148,864,4,completed,0,1
100167,1274,0,completed,1,1
100167,983,1,completed,0,1
100167,1275,2,completed,1,1
100167,1289,3,completed,1,1
100167,1282,4,completed,1,1
101164,558,7,completed,0,2
101164,1712,8,completed,0,2
101164,1202,9,completed,1,2
101165,1395,5,completed,1,2
101165,1403,6,completed,1,2
101158,240,0,completed,0,1
101158,1090,1,completed,1,1
101158,1091,2,completed,1,1
101158,1277,3,completed,0,1
101158,244,4,completed,0,1
101165,1396,7,completed,1,2
101165,1404,8,completed,1,2
101165,1393,9,completed,1,2
102185,656,5,completed,0,2
102185,1403,6,completed,1,2
102185,1396,7,completed,1,2
102185,267,8,completed,0,2
102185,1392,9,completed,1,2
101164,1193,0,completed,1,1
101164,222,1,completed,0,1
101164,1721,2,completed,0,1
101164,1107,3,completed,1,1
101164,1207,4,completed,1,1
101165,1683,0,completed,0,1
101165,1691,1,completed,0,1
101165,252,2,completed,0,1
101165,1402,3,completed,1,1
101165,1281,4,completed,0,1
100192,216,5,completed,0,2
100192,1328,6,completed,1,2
100192,1321,7,completed,1,2
100192,1329,8,completed,1,2
102185,1388,0,completed,1,1
102185,1389,1,completed,1,1
102185,1390,2,completed,1,1
102185,1395,3,completed,1,1
102185,706,4,completed,0,1
103171,1318,5,completed,1,2
103171,1330,6,completed,1,2
100192,1322,9,completed,1,2
103171,1320,7,completed,1,2
103171,1325,8,completed,1,2
103171,1333,9,completed,1,2
100196,1395,5,completed,1,2
100196,1391,6,completed,1,2
100196,1403,7,completed,1,2
100196,1396,8,completed,1,2
101187,29,5,completed,0,2
101187,1256,6,completed,0,2
100196,1392,9,completed,1,2
100197,1289,5,completed,1,2
100197,56,6,completed,0,2
100197,1290,7,completed,1,2
100197,1283,8,completed,1,2
101187,1391,7,completed,0,2
101187,652,8,completed,0,2
101187,397,9,completed,0,2
101188,216,5,completed,0,2
101188,1470,6,completed,0,2
100197,1279,9,completed,1,2
101188,479,7,completed,0,2
101188,1463,8,completed,0,2
101188,1196,9,completed,0,2
102213,714,5,completed,0,2
102213,1318,6,completed,1,2
102213,1323,7,completed,1,2
103171,649,0,completed,0,1
103171,7,1,completed,0,1
103171,563,2,completed,0,1
103171,1321,3,completed,1,1
103171,1329,4,completed,1,1
100192,1314,0,completed,1,1
100192,389,1,completed,0,1
100192,1315,2,completed,1,1
100192,1193,3,completed,0,1
100192,3,4,completed,0,1
101187,1090,0,completed,1,1
101187,1091,1,completed,1,1
101187,1583,2,completed,0,1
101187,50,3,completed,0,1
101187,875,4,completed,0,1
102213,1319,8,completed,1,2
102213,1331,9,completed,1,2
101188,1090,0,completed,1,1
101188,762,1,completed,0,1
101188,1091,2,completed,1,1
101188,1243,3,completed,0,1
101188,551,4,completed,0,1
100196,1388,0,completed,1,1
100196,1389,1,completed,1,1
100196,1390,2,completed,1,1
100196,1402,3,completed,1,1
100196,36,4,completed,0,1
100197,1707,0,completed,0,1
100197,1274,1,completed,1,1
100197,386,2,completed,0,1
100197,1281,3,completed,1,1
100197,1277,4,completed,1,1
100210,708,5,completed,0,2
100210,1197,6,completed,1,2
100210,872,7,completed,0,2
100210,42,8,completed,0,2
100210,1262,9,completed,1,2
101200,273,5,completed,0,2
101200,1058,6,completed,0,2
101200,1249,7,completed,0,2
101200,83,8,completed,0,2
101200,564,9,completed,0,2
103191,1249,5,completed,1,2
103191,1207,6,completed,1,2
103191,255,7,completed,0,2
103191,1246,8,completed,1,2
103191,1067,9,completed,0,2
102213,1315,0,completed,1,1
102213,1316,1,completed,1,1
102213,913,2,completed,0,1
102213,1328,3,completed,1,1
102213,36,4,completed,0,1
102225,1200,5,completed,1,2
102225,64,6,completed,0,2
102225,1101,7,completed,1,2
102225,301,8,completed,0,2
102225,488,9,completed,0,2
101200,1090,0,completed,1,1
101200,240,1,completed,0,1
101200,1242,2,completed,0,1
101200,1091,3,completed,1,1
101200,863,4,completed,0,1
102230,1282,5,completed,1,2
102230,1096,6,completed,0,2
102230,1290,7,completed,1,2
100210,1242,0,completed,1,1
100210,1245,1,completed,1,1
100210,228,2,completed,0,1
100210,707,3,completed,0,1
100210,1258,4,completed,1,1
102230,249,8,completed,0,2
102230,665,9,completed,0,2
103191,1092,0,completed,1,1
103191,1242,1,completed,1,1
103191,1093,2,completed,1,1
103191,1094,3,completed,1,1
103191,1721,4,completed,0,1
103202,1321,5,completed,1,2
103202,1586,6,completed,0,2
102233,1290,5,completed,1,2
102233,21,6,completed,0,2
102233,1283,7,completed,1,2
103202,1324,7,completed,1,2
103202,1332,8,completed,1,2
103202,303,9,completed,0,2
100224,705,5,completed,0,2
100224,1194,6,completed,0,2
100224,1099,7,completed,0,2
100224,486,8,completed,0,2
102233,1279,8,completed,1,2
102233,1482,9,completed,0,2
100224,218,9,completed,0,2
100225,1318,5,completed,1,2
100225,1481,6,completed,0,2
100225,1330,7,completed,1,2
100225,1319,8,completed,1,2
101211,1330,5,completed,0,2
101211,175,6,completed,0,2
100225,406,9,completed,0,2
101211,1039,7,completed,0,2
101211,1676,8,completed,0,2
101211,1332,9,completed,0,2
102225,1036,0,completed,0,1
102225,1281,1,completed,0,1
102225,1249,2,completed,1,1
102225,1245,3,completed,1,1
102225,76,4,completed,0,1
102230,1274,0,completed,1,1
102230,241,1,completed,0,1
102230,1281,2,completed,1,1
102230,1277,3,completed,1,1
102230,1289,4,completed,1,1
103202,983,0,completed,0,1
103202,1683,1,completed,0,1
103202,1315,2,completed,1,1
103202,1316,3,completed,1,1
103202,1053,4,completed,0,1
101215,1095,5,completed,1,2
101215,1096,6,completed,1,2
100232,769,5,completed,0,2
100232,707,6,completed,0,2
100232,1481,7,completed,0,2
100232,565,8,completed,0,2
101211,1090,0,completed,1,1
101211,1091,1,completed,1,1
101211,655,2,completed,0,1
101211,1437,3,completed,0,1
101211,1321,4,completed,0,1
101215,877,7,completed,0,2
101215,1196,8,completed,1,2
101215,1486,9,completed,0,2
103213,302,5,completed,0,2
103213,1496,6,completed,0,2
100224,5,0,completed,0,1
100224,1090,1,completed,1,1
100224,471,2,completed,0,1
100224,203,3,completed,0,1
100224,1091,4,completed,1,1
100232,476,9,completed,0,2
102233,1698,0,completed,0,1
102233,1281,1,completed,1,1
102233,1277,2,completed,1,1
102233,1289,3,completed,1,1
102233,1282,4,completed,1,1
103213,568,7,completed,0,2
103213,87,8,completed,0,2
103213,1293,9,completed,0,2
100225,1315,0,completed,1,1
100225,49,1,completed,0,1
100225,1594,2,completed,0,1
100225,205,3,completed,0,1
100225,1580,4,completed,0,1
102247,1392,5,completed,0,2
102247,1482,6,completed,0,2
102247,1068,7,completed,0,2
101215,762,0,completed,0,1
101215,1243,1,completed,1,1
101215,1194,2,completed,1,1
101215,1099,3,completed,1,1
101215,1256,4,completed,1,1
102247,1682,8,completed,0,2
102247,59,9,completed,0,2
103213,1090,0,completed,1,1
103213,1683,1,completed,0,1
103213,1091,2,completed,1,1
103213,702,3,completed,0,1
103213,1439,4,completed,0,1
100232,284,0,completed,0,1
100232,1707,1,completed,0,1
100232,1090,2,completed,1,1
100232,1091,3,completed,1,1
100232,1395,4,completed,0,1
100241,1283,5,completed,1,2
100241,171,6,completed,0,2
100241,1676,7,completed,0,2
100241,1279,8,completed,1,2
100241,1291,9,completed,1,2
103227,12,5,completed,0,2
103227,75,6,completed,0,2
100245,236,5,completed,0,2
100245,218,6,completed,0,2
100245,1688,7,completed,0,2
100245,1712,8,completed,0,2
103227,254,7,completed,0,2
103227,387,8,completed,0,2
103227,397,9,completed,0,2
100245,1068,9,completed,0,2
102247,1090,0,completed,1,1
102247,1091,1,completed,1,1
102247,29,2,completed,0,1
102247,397,3,completed,0,1
102247,1250,4,completed,0,1
102256,1430,5,completed,0,2
102256,1256,6,completed,0,2
102256,1391,7,completed,1,2
102256,1403,8,completed,1,2
102256,652,9,completed,0,2
100241,1274,0,completed,1,1
100241,650,1,completed,0,1
100241,990,2,completed,0,1
